Customer ID,Policy Holder Name,Gender,Age at Entry,Current Age,Occupation,Smoker Status,Medical Exam Required,Nationality,State
CUST-877572,Vishal Lutchmanen,Male,28,36,Pharmacist,Yes,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-719176,Sarita Mohit,Female,30,43,Nurse,Yes,Yes,Mauritius,Plaines Wilhems
CUST-127824,Malini Ramjuttun,Female,28,45,Driver,No,Yes,Mauritius,Savanne
CUST-895667,Aisha Ramsamy,Female,34,59,Factory Supervisor,No,No,Mauritius,Plaines Wilhems
CUST-452944,Nicolas Peerthum,Male,32,35,Accountant,No,Yes,Mauritius,Grand Port
CUST-377370,Kiran Ramjuttun,Male,34,59,Nurse,No,Yes,Mauritius,Curepipe
CUST-678856,Thierry Mohit,Male,40,49,Contractor,No,Yes,Mauritius,Black River
CUST-338968,Sunita Mungur,Female,31,55,Financial Analyst,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-575435,Asha Beeharry,Female,28,48,Fisherman,Yes,No,Mauritius,Grand Port
CUST-816751,Aisha Busgopaul,Female,25,45,Engineer,Yes,Yes,Mauritius,Port Louis
CUST-771088,Thierry Beeharry,Male,30,52,Sugarcane Worker,Yes,No,Mauritius,Vacoas-Phoenix
CUST-961722,Kavita Torabally,Female,44,45,Electrician,No,No,Mauritius,Port Louis
CUST-429963,Reena Luchmun,Female,45,51,Port Authority Officer,No,No,Mauritius,Port Louis
CUST-881177,Ravi Gokool,Male,40,57,Textile Worker,No,No,Mauritius,Quatre Bornes
CUST-329974,Stéphane Ramful,Male,27,31,Insurance Broker,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-757924,Vishal Permalloo,Male,37,42,Marketing Officer,Yes,No,Mauritius,Grand Port
CUST-363626,Eric Chundunsing,Male,36,53,Civil Servant,Yes,No,Mauritius,Beau Bassin-Rose Hill
CUST-407757,Véronique Ramphul,Female,33,46,Factory Supervisor,No,Yes,Mauritius,Quatre Bornes
CUST-898975,Mohammed Seetaram,Male,36,41,Insurance Broker,Yes,No,Mauritius,Vacoas-Phoenix
CUST-308573,Navin Ramjuttun,Male,34,38,Fisherman,Yes,Yes,Mauritius,Flacq
CUST-217301,Usha Lutchmanen,Female,36,47,Bank Officer,Yes,Yes,Mauritius,Plaines Wilhems
CUST-189814,Raj Mohit,Male,42,65,Port Authority Officer,Yes,Yes,Mauritius,Port Louis
CUST-273148,Roshan Curpen,Male,23,31,Real Estate Agent,No,Yes,Mauritius,Quatre Bornes
CUST-426858,Jean-Marie Luchmun,Male,44,56,Fisherman,No,No,Mauritius,Port Louis
CUST-454508,Fabrice Bissessur,Male,24,24,Waiter,Yes,Yes,Mauritius,Port Louis
CUST-170674,Kavita Torabally,Female,21,22,Plumber,Yes,Yes,Mauritius,Plaines Wilhems
CUST-665427,Nitin Dilmohamed,Male,59,63,Chef,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-198907,Laurent Elahee,Male,58,61,Marketing Officer,No,No,Mauritius,Savanne
CUST-785197,Kavita Rughoonauth,Female,21,41,Software Developer,Yes,No,Mauritius,Beau Bassin-Rose Hill
CUST-300896,Mahesh Gokool,Male,32,38,Textile Worker,No,Yes,Mauritius,Savanne
CUST-361941,Aisha Moothoosamy,Female,25,27,HR Officer,Yes,Yes,Mauritius,Moka
CUST-197793,Yogesh Ramsamy,Male,34,58,Pharmacist,Yes,No,Mauritius,Rivière du Rempart
CUST-161483,Nicolas Callychurn,Male,50,55,Farmer,Yes,No,Mauritius,Plaines Wilhems
CUST-543555,Amina Ramessur,Female,57,79,Sugarcane Worker,No,Yes,Mauritius,Plaines Wilhems
CUST-707314,Isabelle Gounden,Female,39,62,Textile Worker,Yes,No,Mauritius,Port Louis
CUST-627276,Seema Teeluck,Female,30,46,Factory Supervisor,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-171262,Suresh Ramjuttun,Male,37,58,Pharmacist,No,Yes,Mauritius,Quatre Bornes
CUST-707040,Raj Gokool,Male,29,48,Nurse,Yes,No,Mauritius,Moka
CUST-431737,Reena Chundunsing,Female,55,63,Tourism Officer,No,Yes,Mauritius,Plaines Wilhems
CUST-776856,Ravi Mungur,Male,52,61,Logistics Coordinator,No,Yes,Mauritius,Port Louis
CUST-204837,Ajay Fowdar,Male,36,38,Textile Worker,Yes,No,Mauritius,Port Louis
CUST-356150,Kiran Bissessur,Male,29,40,Financial Analyst,Yes,No,Mauritius,Vacoas-Phoenix
CUST-946305,Farrukh Bucktowar,Male,29,49,Real Estate Agent,Yes,No,Mauritius,Quatre Bornes
CUST-377312,Rekha Seenarain,Female,20,23,Software Developer,Yes,No,Mauritius,Plaines Wilhems
CUST-459536,Nicolas Luchmun,Male,49,55,Lawyer,No,No,Mauritius,Quatre Bornes
CUST-765095,Kavita Mohit,Female,33,46,Architect,Yes,Yes,Mauritius,Grand Port
