Agent Code,Sales Agent,Agent Mail,State
AGT-3894,Roshan Ramessur,RoshanRamessur@islandguard.mu,Port Louis
AGT-4594,Priya Lutchmanen,PriyaLutchmanen@islandguard.mu,Plaines Wilhems
AGT-2941,Kevin Beeharry,KevinBeeharry@islandguard.mu,Flacq
AGT-1909,Anita Gounden,AnitaGounden@islandguard.mu,Grand Port
AGT-1465,Vikram Nunkoo,VikramNunkoo@islandguard.mu,Moka
AGT-1498,Fatima Elahee,FatimaElahee@islandguard.mu,Rivière du Rempart
AGT-1800,Dinesh Ramphul,DineshRamphul@islandguard.mu,Beau Bassin-Rose Hill
AGT-1900,Sophie Fowdar,SophieFowdar@islandguard.mu,Vacoas-Phoenix
AGT-2109,Yannick Gokool,YannickGokool@islandguard.mu,Black River
AGT-3150,Meena Suntoo,MeenaSuntoo@islandguard.mu,Savanne
AGT-4509,Rajesh Ramdenee,RajeshRamdenee@islandguard.mu,Quatre Bornes
AGT-4980,Isabelle Dabeesing,IsabelleDabeesing@islandguard.mu,Curepipe
AGT-5980,Suresh Permalloo,SureshPermaloo@islandguard.mu,Port Louis
AGT-5945,Nisha Callychurn,NishaCallychurn@islandguard.mu,Flacq
AGT-2345,Loic Chundunsing,LoicChundunsing@islandguard.mu,Plaines Wilhems
AGT-3465,Kavita Mootien,KavitaMootien@islandguard.mu,Grand Port
AGT-3488,Jean-Marie Seenarain,JeanMarieSeenarain@islandguard.mu,Moka
AGT-3567,Imran Torabally,ImranTorabally@islandguard.mu,Rivière du Rempart
AGT-6578,Deepak Ramsamy,DeepakRamsamy@islandguard.mu,Port Louis
AGT-7898,Marie Bucktowar,MarieBucktowar@islandguard.mu,Vacoas-Phoenix
AGT-5467,Navin Hurree,NavinHurree@islandguard.mu,Quatre Bornes
AGT-4456,Laetitia Appasamy,LaetitiaAppasamy@islandguard.mu,Curepipe
